com;typecom;reg;dep;arr;tncc;ncc;nccenr;libelle;can;comparent;nom_commune;latitude;longitude
21001;COM;27;21;211;1;AGENCOURT;Agencourt;Agencourt;2120;;Agencourt;47.133333;4.983333
21002;COM;27;21;212;1;AGEY;Agey;Agey;2123;;Agey;47.283333;4.766667
21003;COM;27;21;212;1;AHUY;Ahuy;Ahuy;2114;;Ahuy;47.366667;5.033333
21004;COM;27;21;213;1;AIGNAY LE DUC;Aignay-le-Duc;Aignay-le-Duc;2105;;Aignay-le-Duc;47.666667;4.733333
21005;COM;27;21;212;1;AISEREY;Aiserey;Aiserey;2115;;Aiserey;47.166667;5.166667
21006;COM;27;21;213;1;AISEY SUR SEINE;Aisey-sur-Seine;Aisey-sur-Seine;2105;;Aisey-sur-Seine;47.75;4.583333
21007;COM;27;21;213;1;AISY SOUS THIL;Aisy-sous-Thil;Aisy-sous-Thil;2122;;Aisy-sous-Thil;47.4;4.283333
21008;COM;27;21;213;1;ALISE SAINTE REINE;Alise-Sainte-Reine;Alise-Sainte-Reine;2119;;Alise-Sainte-Reine;47.533333;4.483333
21009;COM;27;21;211;1;ALLEREY;Allerey;Allerey;2101;;Allerey;;
21010;COM;27;21;211;1;ALOXE CORTON;Aloxe-Corton;Aloxe-Corton;2117;;Aloxe-Corton;47.066667;4.866667
21011;COM;27;21;213;1;AMPILLY LES BORDES;Ampilly-les-Bordes;Ampilly-les-Bordes;2105;;Ampilly-les-Bordes;47.633333;4.633333
21012;COM;27;21;213;1;AMPILLY LE SEC;Ampilly-le-Sec;Ampilly-le-Sec;2105;;Ampilly-le-Sec;47.8;4.516667
21013;COM;27;21;212;1;ANCEY;Ancey;Ancey;2123;;Ancey;47.333333;4.833333
21014;COM;27;21;211;1;ANTHEUIL;Antheuil;Antheuil;2101;;Antheuil;47.166667;4.75
21015;COM;27;21;211;1;ANTIGNY LA VILLE;Antigny-la-Ville;Antigny-la-Ville;2101;;Antigny-la-Ville;47.1;4.55
21016;COM;27;21;212;1;ARCEAU;Arceau;Arceau;2121;;Arceau;47.383333;5.183333
21017;COM;27;21;211;1;ARCENANT;Arcenant;Arcenant;2120;;Arcenant;47.133333;4.85
